ID,State_Name,District_Name,Crop_Year,Season,Crop,Area,Production
1296,Andhra Pradesh,CHITTOOR,2004,Kharif     ,Rice,19055.0,43331.0
1313,Andhra Pradesh,CHITTOOR,2004,Rabi       ,Rice,25822.0,69177.0
1341,Andhra Pradesh,CHITTOOR,2005,Kharif     ,Rice,16240.0,37173.0
1356,Andhra Pradesh,CHITTOOR,2005,Rabi       ,Rice,66351.0,193612.0
1382,Andhra Pradesh,CHITTOOR,2006,Kharif     ,Rice,17049.0,42520.0
1398,Andhra Pradesh,CHITTOOR,2006,Rabi       ,Rice,29164.0,85101.0
1422,Andhra Pradesh,CHITTOOR,2007,Kharif     ,Rice,15000.0,42000.0
1430,Andhra Pradesh,CHITTOOR,2007,Rabi       ,Rice,37000.0,116000.0
1446,Andhra Pradesh,CHITTOOR,2008,Kharif     ,Rice,17596.0,46242.0
1459,Andhra Pradesh,CHITTOOR,2008,Rabi       ,Rice,37927.0,118636.0
1486,Andhra Pradesh,CHITTOOR,2009,Kharif     ,Rice,19758.0,56192.0
1500,Andhra Pradesh,CHITTOOR,2009,Rabi       ,Rice,35155.0,113937.0
1527,Andhra Pradesh,CHITTOOR,2010,Kharif     ,Rice,18019.0,53639.0
1542,Andhra Pradesh,CHITTOOR,2010,Rabi       ,Rice,43558.0,131502.0
1568,Andhra Pradesh,CHITTOOR,2011,Kharif     ,Rice,17342.0,55719.0
1585,Andhra Pradesh,CHITTOOR,2011,Rabi       ,Rice,33764.0,113211.0
1621,Andhra Pradesh,CHITTOOR,2012,Kharif     ,Rice,12952.0,45241.0
1649,Andhra Pradesh,CHITTOOR,2012,Rabi       ,Rice,34557.0,126168.0
1680,Andhra Pradesh,CHITTOOR,2013,Kharif     ,Rice,15206.0,48766.0
1708,Andhra Pradesh,CHITTOOR,2013,Rabi       ,Rice,34654.0,120249.0
1746,Andhra Pradesh,CHITTOOR,2014,Kharif     ,Rice,13304.0,44462.0
1771,Andhra Pradesh,CHITTOOR,2014,Rabi       ,Rice,27661.0,87962.0
1779,Andhra Pradesh,CHITTOOR,2014,Whole Year ,Rice,40965.0,132424.0
1789,Andhra Pradesh,EAST GODAVARI,1997,Kharif     ,Rice,214100.0,429300.0
1802,Andhra Pradesh,EAST GODAVARI,1997,Rabi       ,Rice,154400.0,491500.0
1816,Andhra Pradesh,EAST GODAVARI,1998,Kharif     ,Rice,256300.0,386600.0
1830,Andhra Pradesh,EAST GODAVARI,1998,Rabi       ,Rice,157600.0,656600.0
1846,Andhra Pradesh,EAST GODAVARI,1999,Kharif     ,Rice,244655.0,628606.0
1858,Andhra Pradesh,EAST GODAVARI,1999,Rabi       ,Rice,161551.0,645162.0
1882,Andhra Pradesh,EAST GODAVARI,2000,Kharif     ,Rice,253966.0,683423.0
1901,Andhra Pradesh,EAST GODAVARI,2000,Rabi       ,Rice,162861.0,683202.0
1929,Andhra Pradesh,EAST GODAVARI,2001,Kharif     ,Rice,220811.0,579850.0
1945,Andhra Pradesh,EAST GODAVARI,2001,Rabi       ,Rice,165779.0,750150.0
1974,Andhra Pradesh,EAST GODAVARI,2002,Kharif     ,Rice,194809.0,551115.0
1989,Andhra Pradesh,EAST GODAVARI,2002,Rabi       ,Rice,106427.0,491906.0
2030,Andhra Pradesh,EAST GODAVARI,2003,Kharif     ,Rice,234673.0,762453.0
2045,Andhra Pradesh,EAST GODAVARI,2003,Rabi       ,Rice,165321.0,869092.0
2085,Andhra Pradesh,EAST GODAVARI,2004,Kharif     ,Rice,224521.0,743614.0
2100,Andhra Pradesh,EAST GODAVARI,2004,Rabi       ,Rice,162903.0,766296.0
2127,Andhra Pradesh,EAST GODAVARI,2005,Kharif     ,Rice,217411.0,348727.0
