,Unnamed: 0,State,Year,Season,Crop,Area,Production,Rainfall
700,10330,Arunachal Pradesh,2003,Kharif     ,Rice,8510.0,10725.0,2451.8
709,10339,Arunachal Pradesh,2004,Kharif     ,Rice,8515.0,6651.0,2545.7
716,10346,Arunachal Pradesh,2005,Kharif     ,Rice,8538.0,3158.0,2335.5
724,10354,Arunachal Pradesh,2006,Kharif     ,Rice,8235.0,6313.0,2259.6
732,10362,Arunachal Pradesh,2007,Kharif     ,Rice,8200.0,6952.0,3020.7
740,10370,Arunachal Pradesh,2008,Kharif     ,Rice,8250.0,6933.0,2244.4
750,10380,Arunachal Pradesh,2009,Kharif     ,Rice,8260.0,6993.33,1749.9
758,10388,Arunachal Pradesh,2010,Kharif     ,Rice,8267.0,7178.0,2855.7
766,10396,Arunachal Pradesh,2011,Kharif     ,Rice,8398.0,7822.0,2193.7
774,10404,Arunachal Pradesh,2012,Kharif     ,Rice,8768.0,8442.0,3440.3
782,10412,Arunachal Pradesh,2013,Kharif     ,Rice,8968.0,9087.0,2042.9
790,10420,Arunachal Pradesh,2014,Kharif     ,Rice,8968.0,9436.0,2403.2
798,10428,Arunachal Pradesh,1997,Kharif     ,Rice,10200.0,15525.0,2274.9
809,10439,Arunachal Pradesh,1998,Kharif     ,Rice,7323.0,12600.0,3616.7
824,10454,Arunachal Pradesh,1999,Kharif     ,Rice,11600.0,19261.0,2316.6
835,10465,Arunachal Pradesh,2000,Kharif     ,Rice,12310.0,19500.0,2596.8
846,10476,Arunachal Pradesh,2001,Kharif     ,Rice,5400.0,5000.0,2036.0
856,10486,Arunachal Pradesh,2002,Kharif     ,Rice,12330.0,26605.0,2389.2
867,10497,Arunachal Pradesh,2003,Kharif     ,Rice,12100.0,28000.0,2451.8
878,10508,Arunachal Pradesh,2004,Kharif     ,Rice,12526.0,17499.0,2545.7
888,10518,Arunachal Pradesh,2005,Kharif     ,Rice,12800.0,19535.0,2335.5
898,10528,Arunachal Pradesh,2006,Kharif     ,Rice,13137.0,19729.0,2259.6
908,10538,Arunachal Pradesh,2007,Kharif     ,Rice,13000.0,19799.0,3020.7
918,10548,Arunachal Pradesh,2008,Kharif     ,Rice,13142.0,19761.0,2244.4
928,10558,Arunachal Pradesh,2009,Kharif     ,Rice,14147.0,20775.33,1749.9
938,10568,Arunachal Pradesh,2010,Kharif     ,Rice,15137.0,24103.0,2855.7
948,10578,Arunachal Pradesh,2011,Kharif     ,Rice,15378.0,26268.0,2193.7
958,10588,Arunachal Pradesh,2012,Kharif     ,Rice,16770.0,27098.0,3440.3
968,10598,Arunachal Pradesh,2013,Kharif     ,Rice,16770.0,27044.0,2042.9
978,10608,Arunachal Pradesh,2014,Kharif     ,Rice,16120.0,27463.0,2403.2
988,10618,Arunachal Pradesh,2002,Kharif     ,Rice,6300.0,7440.0,2389.2
998,10628,Arunachal Pradesh,2003,Kharif     ,Rice,7434.0,6375.0,2451.8
1009,10639,Arunachal Pradesh,2004,Kharif     ,Rice,6300.0,7434.0,2545.7
1018,10648,Arunachal Pradesh,2005,Kharif     ,Rice,6375.0,7530.0,2335.5
1024,10654,Arunachal Pradesh,2006,Kharif     ,Rice,6000.0,5095.0,2259.6
1032,10662,Arunachal Pradesh,2007,Kharif     ,Rice,500.0,615.0,3020.7
1039,10669,Arunachal Pradesh,2008,Kharif     ,Rice,500.0,615.0,2244.4
1046,10676,Arunachal Pradesh,2009,Kharif     ,Rice,500.0,615.33,1749.9
1053,10683,Arunachal Pradesh,2010,Kharif     ,Rice,400.0,527.0,2855.7
1060,10690,Arunachal Pradesh,2011,Kharif     ,Rice,406.0,574.0,2193.7
1067,10697,Arunachal Pradesh,2012,Kharif     ,Rice,410.0,590.0,3440.3
1075,10705,Arunachal Pradesh,2013,Kharif     ,Rice,53.0,74.0,2042.9
1081,10711,Arunachal Pradesh,2014,Kharif     ,Rice,53.0,74.0,2403.2
1087,10717,Arunachal Pradesh,1997,Kharif     ,Rice,15070.0,19600.0,2274.9
1098,10728,Arunachal Pradesh,1998,Kharif     ,Rice,13015.0,18221.0,3616.7
1113,10743,Arunachal Pradesh,1999,Kharif     ,Rice,14000.0,20900.0,2316.6
1124,10754,Arunachal Pradesh,2000,Kharif     ,Rice,13980.0,13630.0,2596.8
1135,10765,Arunachal Pradesh,2001,Kharif     ,Rice,10900.0,14170.0,2036.0
1146,10776,Arunachal Pradesh,2002,Kharif     ,Rice,14158.0,12883.0,2389.2
1157,10787,Arunachal Pradesh,2003,Kharif     ,Rice,14257.0,19390.0,2451.8
1168,10798,Arunachal Pradesh,2004,Kharif     ,Rice,8227.0,9872.0,2545.7
1178,10808,Arunachal Pradesh,2005,Kharif     ,Rice,8500.0,11759.0,2335.5
1188,10818,Arunachal Pradesh,2006,Kharif     ,Rice,10500.0,17010.0,2259.6
1198,10828,Arunachal Pradesh,2007,Kharif     ,Rice,10300.0,16833.0,3020.7
1208,10838,Arunachal Pradesh,2008,Kharif     ,Rice,10412.0,17952.0,2244.4
1218,10848,Arunachal Pradesh,2009,Kharif     ,Rice,11770.0,19541.33,1749.9
1228,10858,Arunachal Pradesh,2010,Kharif     ,Rice,11654.0,20263.0,2855.7
1238,10868,Arunachal Pradesh,2011,Kharif     ,Rice,11839.0,22082.0,2193.7
1248,10878,Arunachal Pradesh,2012,Kharif     ,Rice,12239.0,23512.0,3440.3
1257,10887,Arunachal Pradesh,2013,Kharif     ,Rice,12150.0,21662.0,2042.9
1267,10897,Arunachal Pradesh,2014,Kharif     ,Rice,11450.0,22080.0,2403.2
1277,10907,Arunachal Pradesh,2013,Kharif     ,Rice,2890.0,2504.0,2042.9
1284,10914,Arunachal Pradesh,2014,Kharif     ,Rice,2890.0,2923.0,2403.2
1290,10920,Arunachal Pradesh,2002,Kharif     ,Rice,9580.0,13500.0,2389.2
1300,10930,Arunachal Pradesh,2003,Kharif     ,Rice,9650.0,11100.0,2451.8
1311,10941,Arunachal Pradesh,2004,Kharif     ,Rice,9655.0,14895.0,2545.7
1321,10951,Arunachal Pradesh,2005,Kharif     ,Rice,9700.0,15035.0,2335.5
1331,10961,Arunachal Pradesh,2006,Kharif     ,Rice,10736.0,14149.0,2259.6
1341,10971,Arunachal Pradesh,2007,Kharif     ,Rice,10950.0,13477.0,3020.7
1351,10981,Arunachal Pradesh,2008,Kharif     ,Rice,11059.0,13610.0,2244.4
1361,10991,Arunachal Pradesh,2009,Kharif     ,Rice,11169.0,8934.66,1749.9
